,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,hora_bruta
1001,0,69,1,4,0,4,8
1002,1,23,0,4,0,4,8
1003,1,79,0,0,0,4,12
1004,1,42,12,0,0,4,12
1005,0,50,10,4,0,4,14
1006,1,49,0,0,0,4,14
1007,1,42,12,4,0,4,14
1008,1,42,12,0,0,4,14
1009,1,69,0,4,0,4,14
1010,1,78,0,0,0,4,15
1011,0,50,1,4,0,4,16
1012,1,1,0,4,0,4,16
1013,0,34,0,4,1,4,10
1014,1,78,1,4,1,4,12
1015,0,79,3,4,1,4,13
1016,1,47,12,4,1,4,16
1017,0,25,0,4,1,4,17
1018,0,19,12,4,1,4,17
1019,0,79,1,4,1,4,18
1020,1,31,1,4,1,4,19
1021,0,24,10,4,1,4,19
1022,1,12,12,4,1,4,20
1023,1,51,0,4,1,4,22
1024,1,90,0,4,1,4,22
1025,0,13,1,4,2,4,6
1026,1,31,12,4,2,4,10
1027,0,49,7,4,2,4,10
1028,1,78,1,4,2,4,12
1029,1,74,0,4,2,4,17
1030,1,70,1,4,2,4,17
1031,0,37,1,4,2,4,18
1032,1,49,0,4,2,4,20
1033,0,14,0,4,3,4,7
1034,1,27,11,4,3,4,7
1035,1,12,0,4,3,4,9
1036,0,49,1,4,3,4,10
1037,1,69,11,4,3,4,10
1038,1,12,0,4,3,4,14
1039,1,23,0,4,3,4,15
1040,0,90,1,4,3,4,19
1041,0,92,10,4,3,4,19
1042,1,90,12,4,3,4,19
1043,1,45,1,4,4,4,7
1044,1,25,0,4,4,4,7
1045,0,12,1,4,4,4,9
1046,0,69,0,4,4,4,9
1047,0,46,1,4,4,4,11
1048,1,13,1,4,4,4,11
1049,1,49,12,4,4,4,11
1050,1,51,0,4,4,4,11
1051,1,50,12,4,4,4,11
1052,1,12,0,4,4,4,12
1053,1,1,0,4,4,4,15
1054,1,12,0,4,4,4,16
1055,1,35,0,4,4,4,19
1056,0,47,1,4,4,4,20
1057,1,12,12,0,5,4,1
1058,0,58,0,4,5,4,8
1059,1,22,0,4,5,4,12
1060,1,12,12,4,5,4,15
1061,0,49,0,4,5,4,16
1062,0,23,1,4,6,4,8
1063,1,37,12,0,6,4,9
1064,0,73,1,4,6,4,14
1065,1,58,0,4,6,4,15
1066,1,12,0,0,6,4,17
1067,1,75,0,0,6,4,19
1068,0,24,1,4,6,4,21
1069,1,31,0,4,6,4,21
1070,0,39,1,4,0,4,1
1071,1,78,0,4,0,4,7
1072,1,37,0,4,0,4,7
1073,1,48,11,4,0,4,9
1074,0,60,12,4,0,4,11
1075,1,47,0,4,0,4,12
1076,0,45,1,4,0,4,15
1077,1,78,0,4,0,4,15
1078,1,58,12,4,0,4,17
1079,0,49,1,4,0,4,18
1080,0,85,0,4,0,4,18
1081,1,73,12,0,0,4,19
1082,1,51,1,4,0,4,19
1083,1,58,8,4,0,4,21
1084,1,22,12,4,1,4,7
1085,0,23,0,4,1,4,10
1086,0,13,0,4,1,4,12
1087,1,49,12,4,1,4,12
1088,0,92,1,4,1,4,13
1089,1,37,12,4,1,4,14
1090,0,8,12,4,1,4,14
1091,1,45,0,4,1,4,15
1092,0,63,3,4,1,4,15
1093,1,31,12,4,1,4,16
1094,0,12,11,4,1,4,16
1095,0,20,10,4,1,4,16
1096,1,69,0,4,1,4,17
1097,0,7,0,4,1,4,17
1098,1,78,12,4,1,4,18
1099,1,45,12,4,1,4,23
1100,1,34,0,4,2,4,9
1101,1,1,12,4,2,4,10
1102,0,42,0,4,2,4,12
1103,0,49,10,4,2,4,15
1104,1,46,0,4,2,4,16
1105,1,46,0,4,2,4,17
1106,1,49,12,4,2,4,20
1107,1,12,0,4,3,4,7
1108,1,46,12,4,3,4,7
1109,1,31,0,4,3,4,8
1110,1,8,11,4,3,4,9
1111,1,90,0,4,3,4,10
1112,1,50,12,4,3,4,10
1113,0,13,0,4,3,4,12
1114,1,90,0,4,3,4,13
1115,0,58,12,4,3,4,14
1116,1,12,12,4,3,4,14
1117,0,49,1,4,3,4,14
1118,1,31,0,4,3,4,16
1119,0,80,12,4,3,4,18
1120,1,12,8,4,3,4,19
1121,0,58,10,4,4,4,6
1122,0,31,0,0,4,4,7
1123,0,69,14,0,4,4,8
1124,1,34,0,0,4,4,8
1125,1,13,12,0,4,4,10
1126,1,81,12,0,4,4,11
1127,0,85,1,0,4,4,12
1128,0,84,11,4,4,4,15
1129,0,12,2,4,4,4,17
1130,1,12,12,4,4,4,17
1131,1,50,0,4,4,4,20
1132,1,87,4,0,4,4,23
